run_id,type,name,row,col,value
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,3,5,0.649775939331265
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,4,5,0.629782833505688
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,5,5,0.649775939331265
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,6,5,0.659772492244054
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,7,5,0.649775939331265
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,8,5,0.729748362633575
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,9,5,0.659772492244054
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,10,5,0.749741468459152
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,11,5,0.809720785935884
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,12,5,0.959669079627715
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,13,5,0.999655291278869
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,14,5,1.0596346087556
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,15,5,0.909686315063771
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,16,5,1.20958290244743
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,17,5,1.13960703205791
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,18,5,1.29955187866253
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,19,5,1.39951740779042
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,20,5,1.15960013788349
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,21,5,1.55946225439504
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,22,5,1.51947604274388
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,23,5,1.41951051361599
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,24,5,1.39951740779042
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,25,5,1.38952085487763
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,26,5,1.2395725611858
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,27,5,0.979662185453292
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,28,5,1.09962082040676
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,29,5,1.1496035849707
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,1,6,0.180062090375992
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,2,6,0.270093135563988
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,3,6,0.430148327009314
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,4,6,0.420144877543981
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,5,6,0.500172473266644
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,6,6,0.480165574335978
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,7,6,0.480165574335978
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,8,6,0.580200068989307
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,9,6,0.500172473266644
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,10,6,0.620213866850638
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,11,6,0.680234563642635
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,12,6,0.860296654018627
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,13,6,0.890307002414626
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,14,6,0.950327699206623
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,15,6,0.840289755087961
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,16,6,1.10037944118662
0029_1.E.B.J.EC3_0-bspm_F_est,Data,index,17,6,1.08037254225595
